player_name,points,wins,top_10,avg_score,total_distance,total_drives,fairway_%,fairways_hit,possible_fairways,%_gir,greens_hit,#_holes,total_sg:putting,sg:ott,sg:apr,sg:arg,rounds,total_sg:t,total_sg:t2g,total_sg:p,events_y,money,year
Charley_Hoffman,1127,0,5,70.262,55745,182,56.24,712,1266,67.46,1105,1638,21.913,0.37200000000000005,0.711,-0.114,95,90.755,68.848,21.913,27,2915972.0,2021
Kevin_Na,1099,1,2,70.995,38511,134,66.6,622,934,63.76,769,1206,-0.818,-0.256,-0.228,0.633,70,7.843,8.664,-0.818,21,2720667.0,2021
Marc_Leishman,1084,1,4,71.263,37415,128,57.81,518,896,65.71,757,1152,13.214,-0.17,0.18100000000000002,-0.085,71,9.465,-3.747,13.214,21,3000346.0,2021
Lucas_Glover,1037,1,4,70.69,49354,168,63.93,748,1170,66.6,1007,1512,-1.6380000000000001,0.292,0.175,0.192,86,43.86600000000001,45.505,-1.6380000000000001,26,2500537.0,2021
Brian_Harman,1033,0,5,69.925,50036,172,66.22,792,1196,64.28,995,1548,39.168,0.20199999999999999,0.045,0.322,91,79.57,40.406,39.168,24,3082546.0,2021
Carlos_Ortiz,1025,1,3,70.758,48446,160,60.13,671,1116,67.08,966,1440,12.282,0.239,0.018000000000000002,0.19399999999999998,83,44.29600000000001,32.016999999999996,12.282,25,2579299.0,2021
Matt_Jones,1022,1,3,70.437,53272,176,55.29,679,1228,65.34,1035,1584,28.256,0.157,-0.26899999999999996,0.322,90,42.935,14.682,28.256,26,2400685.0,2021
Cam_Davis,1019,1,3,70.727,48115,156,54.51,592,1086,65.38,918,1404,15.110999999999999,0.384,0.27699999999999997,-0.284,78,43.023999999999994,27.916999999999998,15.110999999999999,22,2554061.0,2021
Si_Woo_Kim,1015,1,4,70.806,47223,160,61.81,691,1118,66.18,953,1440,-5.93,0.27699999999999997,0.162,0.33399999999999996,83,46.365,52.299,-5.93,27,2759238.0,2021
Sergio_Garcia,951,1,3,70.58,34558,112,59.41,467,786,69.54,701,1008,-22.103,0.823,0.252,0.065,61,34.899,57.005,-22.103,19,2525200.0,2021
Cameron_Tringale,941,0,4,69.992,47612,160,60.97,678,1112,67.43,971,1440,34.715,0.04,0.413,0.24,82,83.24,48.528999999999996,34.715,24,2222773.0,2021
K.H._Lee,937,1,2,71.508,51018,172,60.68,727,1198,62.86,973,1548,-21.721,0.071,-0.127,0.231,90,-8.844,12.879000000000001,-21.721,28,2557633.0,2021
Keegan_Bradley,928,0,4,70.369,44307,148,65.53,675,1030,68.99,919,1332,-35.11,0.376,0.863,0.22,78,61.17100000000001,96.28299999999999,-35.11,24,2323487.0,2021
Emiliano_Grillo,901,0,4,70.142,52419,176,63.84,784,1228,71.53,1133,1584,1.429,0.373,0.711,-0.34299999999999997,88,46.668,45.24100000000001,1.429,26,2045761.0,2021
Russell_Henley,854,0,4,69.98100000000001,41612,144,66.33,662,998,69.44,900,1296,7.932,0.028999999999999998,0.9009999999999999,0.061,75,73.367,65.439,7.932,22,2302084.0,2021
Lee_Westwood,839,0,2,71.143,29543,100,60.89,425,698,62.78,565,900,6.127999999999999,0.07400000000000001,0.095,-0.07,53,10.009,3.8819999999999997,6.127999999999999,16,3238905.0,2021
Chris_Kirk,828,0,4,70.334,41755,144,62.77,629,1002,67.67,877,1296,7.7829999999999995,0.086,0.34700000000000003,0.36200000000000004,76,56.298,48.519,7.7829999999999995,22,2087603.0,2021
Paul_Casey,827,0,6,70.142,36408,120,62.14,517,832,68.24,737,1080,-4.0569999999999995,0.253,0.907,0.297,63,62.93899999999999,66.999,-4.0569999999999995,17,2690859.0,2021
Patton_Kizzire,789,0,5,70.44800000000001,52793,176,56.86,696,1224,68.12,1079,1584,43.708999999999996,-0.138,0.235,0.054000000000000006,88,55.318999999999996,11.613,43.708999999999996,25,2006595.0,2021
Hudson_Swafford,789,1,3,72.062,42128,140,63.16,619,980,65.79,829,1260,-0.693,-0.021,-0.5379999999999999,-0.52,70,-59.008,-58.312,-0.693,26,1396572.0,2021
Webb_Simpson,777,0,5,70.013,33770,116,67.73,550,812,68.01,710,1044,22.872,0.096,0.237,0.41,61,56.36600000000001,33.496,22.872,17,2202615.0,2021
Ryan_Palmer,777,0,4,70.788,38871,128,59.42,530,892,66.84,770,1152,11.66,0.32,0.33,-0.125,71,41.578,29.919,11.66,20,2165762.0,2021
Branden_Grace,772,1,3,70.709,41719,142,55.26,546,988,63.93,817,1278,1.39,-0.011000000000000001,0.18899999999999997,0.244,73,23.772,22.388,1.39,23,1788250.0,2021
Maverick_McNealy,756,0,2,70.68,39331,132,59.57,548,920,65.82,782,1188,9.926,0.26,-0.23,0.049,68,14.158,4.234,9.926,22,1825997.0,2021
Kevin_Streelman,752,0,3,70.26899999999999,49544,168,65.41,764,1168,68.78,1040,1512,-0.384,0.244,0.466,0.071,90,54.701,55.09,-0.384,27,1919041.0,2021
Matt_Fitzpatrick,742,0,5,70.372,35068,120,68.42,572,836,64.81,700,1080,22.918000000000003,0.5760000000000001,0.054000000000000006,0.19699999999999998,63,61.833,38.915,22.918000000000003,18,2213185.0,2021
Phil_Mickelson,740,1,1,71.855,38533,128,53.72,477,888,63.63,733,1152,-5.615,-0.235,0.08800000000000001,-0.043,64,-15.276,-9.66,-5.615,20,2559724.0,2021
Talor_Gooch,739,0,3,70.297,47629,160,59.37,659,1110,65.42,942,1440,17.043,-0.053,0.425,0.242,87,61.876999999999995,44.838,17.043,25,2221232.0,2021
Aaron_Wise,731,0,3,70.77199999999999,40710,136,59.28,562,948,69.85,855,1224,-34.102,0.293,0.38,0.226,68,18.0,52.105,-34.102,20,1960710.0,2021
Martin_Laird,728,1,1,71.60600000000001,42495,144,68.85,694,1008,69.6,902,1296,-14.815,0.099,0.25,0.004,74,6.739,21.554000000000002,-14.815,24,1772953.0,2021
Sebastián_Muñoz,714,0,4,71.203,53374,180,62.38,786,1260,65.62,1063,1620,4.829,0.145,0.192,-0.14300000000000002,93,19.798,14.972000000000001,4.829,29,1898891.0,2021
Matthew_Wolff,708,0,2,71.452,26905,86,49.67,297,598,65.63,508,774,6.337000000000001,-0.27399999999999997,0.485,-0.469,48,-3.6889999999999996,-10.025,6.337000000000001,16,2355208.0,2021
Mackenzie_Hughes,704,0,4,71.032,45602,156,58.29,633,1086,63.82,896,1404,30.261,-0.344,-0.337,0.08900000000000001,82,-7.579,-37.838,30.261,25,1727760.0,2021
Robert_Streb,699,1,1,71.26100000000001,38332,132,58.3,541,928,64.9,771,1188,11.497,-0.295,-0.353,0.242,68,-10.402000000000001,-21.895,11.497,23,1597019.0,2021
Kevin_Kisner,695,0,3,70.975,36819,128,67.9,607,894,64.84,747,1152,32.529,-0.13699999999999998,-0.091,0.039,69,22.185,-10.342,32.529,22,1744202.0,2021
Tyrrell_Hatton,688,0,4,70.229,29892,100,63.87,442,692,63.78,574,900,4.856,0.489,0.721,-0.011000000000000001,57,54.071000000000005,49.216,4.856,17,1882279.0,2021
Shane_Lowry,685,0,4,70.359,38224,128,60.2,537,892,67.88,782,1152,-10.242,0.25,0.42100000000000004,0.337,67,41.153999999999996,51.398,-10.242,18,2254672.0,2021
Troy_Merritt,683,0,4,70.916,53287,184,61.25,784,1280,64.43,1067,1656,23.649,-0.287,0.095,0.084,94,15.675999999999998,-7.9670000000000005,23.649,30,1795075.0,2021
J.T._Poston,670,0,2,71.138,45580,152,56.63,598,1056,62.21,851,1368,54.14,-0.086,-0.441,-0.069,79,11.849,-42.286,54.14,26,1619301.0,2021
Bubba_Watson,668,0,5,70.92,35728,118,60.88,498,818,66.76,709,1062,-12.32,0.6890000000000001,0.155,0.049,67,32.301,44.623000000000005,-12.32,19,1839546.0,2021
Seamus_Power,665,1,4,70.515,29295,100,62.71,439,700,68.33,615,900,5.609,0.023,0.531,0.502,50,41.492,35.884,5.609,15,1484029.0,2021
Charl_Schwartzel,648,0,2,71.113,44696,148,57.67,594,1030,66.37,884,1332,-3.525,0.095,0.166,0.21100000000000002,78,26.252,29.781,-3.525,23,1632060.0,2021
